ID,Item Name,Item Type,Current Stock,Is Fixed Price,Barcode,Unit Price Per Tab,Expiry Date,Batch Number,Purchase Price,Sale Price,Fixed Sale Price,Markup Percentage
e9b0c5e2-c2c8-4bdb-875b-ab07f1e753ff,N/A,Pharmacy,136.0,False,,4.0,2027-01-01,,1.21,80.0,0.0,0.0
31089080-0947-498e-b6a1-b99fa46db1f8,N/A,Pharmacy,56.0,False,,4.0,2028-02-01,,2.89,144.0,0.0,0.0
aafb6c6d-a897-4618-9539-d9561a88d2fe,N/A,Pharmacy,4.0,False,,37.0,2026-11-01,,28.98,37.0,0.0,0.0
3d0bad66-4341-4f3d-8da1-e2018f1f469e,N/A,Pharmacy,14.0,False,,25.0,2026-11-01,,18.0,25.0,0.0,0.0
ebdabc94-984f-4b69-942d-520fad4bbdf7,N/A,Pharmacy,6.0,False,,45.0,2026-07-01,,36.9,45.0,0.0,0.0
7b412a9d-5bf3-4ccd-b77e-1a32e5cb90b8,N/A,Pharmacy,2.0,False,,60.0,2027-01-01,,39.98,60.0,0.0,0.0
2809b69b-2d6a-4b94-b761-1d0491effe34,N/A,Pharmacy,2.0,False,,37.0,2027-01-01,,21.89,37.0,0.0,0.0
fecd0a1a-7afa-4fe5-ac29-0e824c45d987,N/A,Pharmacy,6.0,False,,35.0,2028-02-01,,23.8,35.0,0.0,0.0
dc5c42c4-4584-47f6-8d04-61bd8362b9ca,N/A,Pharmacy,14.0,False,,28.0,2028-02-01,,21.02,28.0,0.0,0.0
f77bd272-393c-44f0-bed4-bd2c71174b3a,N/A,Pharmacy,0.0,False,,4.0,2026-11-01,,8.98,12.0,0.0,0.0
0baf3cca-5dc9-4139-ad38-f8a53d5ae69f,N/A,Pharmacy,2.0,False,,40.0,2027-03-01,,29.55,40.0,0.0,0.0
ac9c6d07-0b18-4167-9d0e-864029b8d8c5,N/A,Pharmacy,22.0,False,,20.0,2028-01-01,,13.99,20.0,0.0,0.0
ef6c3a5f-5875-4747-a986-2630b5ab598f,N/A,Pharmacy,10.0,False,,45.0,2026-11-01,,31.34,45.0,0.0,0.0
2a532fc4-c4dc-4e09-9031-19e782f1afa0,N/A,Pharmacy,18.0,False,,25.0,2029-02-01,,18.95,25.0,0.0,0.0
995efd36-49bb-4b5b-b1df-6fcb808eb37c,N/A,Pharmacy,192.0,False,,10.0,2027-02-01,,4.91,100.0,0.0,0.0
